Date ,totalMembers,activeMembers
04/15/2015,1,1
04/16/2015,1,1
04/17/2015,1,1
04/18/2015,1,1
04/19/2015,6,6
04/20/2015,10,10
04/21/2015,13,13
04/22/2015,13,13
04/23/2015,13,13
04/24/2015,13,13
04/25/2015,13,13
04/26/2015,13,13
04/27/2015,13,13
04/28/2015,13,13
04/29/2015,13,13
04/30/2015,13,13
05/01/2015,13,13
05/02/2015,13,13
05/03/2015,17,17
05/04/2015,17,17
05/05/2015,17,17
05/06/2015,17,17
05/07/2015,17,17
05/08/2015,17,17
05/09/2015,17,17
05/10/2015,23,23
05/11/2015,23,23
05/12/2015,22,22
05/13/2015,22,22
05/14/2015,22,22
05/15/2015,22,22
05/16/2015,22,22
05/17/2015,22,22
05/18/2015,22,22
05/19/2015,22,18
05/20/2015,22,13
05/21/2015,22,11
05/22/2015,22,11
05/23/2015,22,11
05/24/2015,22,11
05/25/2015,22,11
05/26/2015,22,10
05/27/2015,22,10
05/28/2015,26,14
05/29/2015,26,14
05/30/2015,26,14
05/31/2015,26,13
06/01/2015,26,13
06/02/2015,26,12
06/03/2015,26,12
06/04/2015,26,12
06/05/2015,26,12
06/06/2015,26,11
06/07/2015,26,11
06/08/2015,26,11
06/09/2015,26,10
06/10/2015,26,9
06/11/2015,26,9
06/12/2015,26,9
06/13/2015,26,8
06/14/2015,26,8
06/15/2015,26,7
06/16/2015,26,8
06/17/2015,26,8
06/18/2015,26,8
06/19/2015,26,8
06/20/2015,26,8
06/21/2015,26,8
06/22/2015,26,8
06/23/2015,26,7
06/24/2015,26,7
06/25/2015,28,9
06/26/2015,28,9
06/27/2015,28,8
06/28/2015,28,8
06/29/2015,28,8
06/30/2015,28,8
07/01/2015,28,8
07/02/2015,28,7
07/03/2015,28,7
07/04/2015,28,7
07/05/2015,28,7
07/06/2015,28,7
07/07/2015,28,7
07/08/2015,28,7
07/09/2015,28,7
07/10/2015,28,7
07/11/2015,28,7
07/12/2015,29,8
07/13/2015,29,8
07/14/2015,29,7
07/15/2015,29,7
07/16/2015,29,8
07/17/2015,29,8
07/18/2015,29,8
07/19/2015,30,9
07/20/2015,30,9
07/21/2015,30,9
